Name,Height(in cm)
Aaditya Shrivastava,178
Aamir Khan,163
Abhay Deol,180
Abhishek Bachchan,186
Aditya Pancholi,185
Aditya Roy Kapoor,188
Aftab Shivdasani,178
Ajay Devgan,175
Akshay Kumar,178
Akshaye Khanna,175
Ali Fazal,180
Ali Zafar,175
Amitabh Bachchan,185
Anil Kapoor,175
Anupam Kher,168
Arbaaz Khan,173
Arjun Kapoor,178
Arjun Rampal,185
Armaan Jain,180
Arshad Warsi,168
Atul Kulkarni,180
Ayush Sharma,175
Ayushman Khurrana,168
Barun Sobti,180
Bobby Deol,180
Dara Singh,188
Dev Anand,179
Dharmendra,178
Dilip Kumar,178
Diljit Dosanjh,170
Emraan Hashmi,168
Fardeen Khan,173
Farhan Akhtar,170
Fawad Khan,178
Feroz Khan,183
Gippy Grewal,180
Girish Kumar,173
Govinda,173
Harman Baweja,185
Harshvardhan Kapoor,178
Himesh Reshamiya,163
Honey Singh,173
Hrithik Roshan,178
Imran Khan,188
Inder Kumar,180
Irrfan Khan,183
Ishaan Khatter,177
Jackie Shroff,183
Jackky Bhagnani,178
Jay Bhanushali,173
Jeetendra,183
Jimmy Shergill,175
John Abraham,182
Kader Khan,172
Kamal Haasan,165
Kapil Sharma,168
Karan Johar,175
Karan Singh Grover,174
Karan Wahi,178
Karanvir Bohra,170
Kartik Aaryan,188
Kay Kay Menon,180
Kishore Kumar,174
Kunal Kapoor,188
Kunal Khemu,166
Manish Paul,182
Manoj Bajpayee,170
Manoj Kumar,178
Meiyang Chang,178
Mithun Chakraborty,183
Mohnish Bahl,170
Nana Patekar,170
Naseeruddin Shah,170
Nawazuddin Siddiqui,168
Neil Nitin Mukesh,172
Om Prakash,175
Om Puri,170
Pankaj Tripathi,178
Paresh Rawal,183
Prabhas,183
Pran,170
Prem Chopra,188
Prithviraj Kapoor,180
Priyanshu Chatterjee,188
Pulkit Samrat,169
R. Madhavan,177
Raj Babbar,173
Raj Kapoor,170
Rajesh Khanna,171
Rajinikanth,175
Rajkummar Rao,170
Rakesh Roshan,180
Ram Charan,168
Rana Daggubati,186
Ranbir Kapoor,181
Randeep Hooda,178
Randhir Kapoor,170
Ranveer Singh,177
Ravi Kishan,170
Rishi Kapoor,170
Riteish Deshmukh,173
Saif Ali Khan,170
Salim Khan,174
Salman Khan,174
Sanjay Dutt,183
Sanjay Kapoor,173
Sanjay Khan,170
Sanjay Mishra,169
Sanjeev Kumar,173
Shah Rukh Khan,173
Shahid Kapoor,167
Shakti Kapoor,175
Shammi Kapoor,185
Sharman Joshi,175
Shashi Kapoor,180
Shatrughan Sinha,188
Shiney Ahuja,178
Shreyas Talpade,170
Sidharth Malhotra,180
Sohail Khan,177
Sonu Sood,185
Sooraj Pancholi,173
Subrat Dutta,173
Sunil Dutt,183
Sunil Shetty,178
Sunny Deol,173
Suresh Oberoi,173
Sushant Singh Rajput,178
Tiger Shroff,175
Tusshar Kapoor,175
Uday Chopra,170
Varun Dhawan,173
Varun Sharma,178
Vicky Kaushal,183
Vidyut Jammwal,180
Vinod Khanna,178
Vivaan Shah,170
Vivek Oberoi,180
Zayed Khan,180
